#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-6.110605e+02	0.000000e+00	2.914793e-02	0.000000e+00	-1.224239e+03	6.131784e+02
1.190000e-03	-1.858746e+03	-3.468552e-05	2.914618e-02	0.000000e+00	-4.214077e+03	2.355331e+03
2.380000e-03	-4.022947e+03	-6.936791e-05	2.914202e-02	0.000000e+00	-9.243641e+03	5.220693e+03
3.570000e-03	5.273336e+03	-1.040435e-04	2.914290e-02	0.000000e+00	-6.095806e+03	1.136914e+04
4.760000e-03	5.728428e+03	-1.387280e-04	2.915069e-02	0.000000e+00	-8.690895e+03	1.441932e+04
5.950000e-03	8.309214e+03	-1.734222e-04	2.916063e-02	0.000000e+00	-5.567469e+03	1.387668e+04
7.140000e-03	1.359898e+04	-2.081303e-04	2.917615e-02	0.000000e+00	-6.982766e+03	2.058175e+04
8.330000e-03	1.650007e+04	-2.428614e-04	2.919746e-02	0.000000e+00	-3.270307e+03	1.977038e+04
9.520000e-03	1.254830e+04	-2.776203e-04	2.921804e-02	0.000000e+00	-9.527463e+03	2.207576e+04
1.071000e-02	1.823091e+04	-3.124003e-04	2.923983e-02	0.000000e+00	-8.916611e+03	2.714752e+04
1.190000e-02	1.979568e+04	-3.472111e-04	2.926676e-02	0.000000e+00	-6.533566e+03	2.632925e+04
1.309000e-02	2.029612e+04	-3.820552e-04	2.929515e-02	0.000000e+00	-5.924106e+03	2.622023e+04
1.428000e-02	2.267456e+04	-4.169336e-04	2.932558e-02	0.000000e+00	-6.209264e+03	2.888383e+04
1.547000e-02	2.773560e+04	-4.518501e-04	2.936128e-02	0.000000e+00	-8.808003e+03	3.654360e+04
1.666000e-02	2.642170e+04	-4.868134e-04	2.939963e-02	0.000000e+00	-7.214094e+03	3.363579e+04
1.785000e-02	3.815091e+04	-5.218212e-04	2.944536e-02	0.000000e+00	-5.286263e+03	4.343717e+04
1.904000e-02	3.915122e+04	-5.568934e-04	2.950010e-02	0.000000e+00	-4.985326e+03	4.413655e+04
2.023000e-02	2.371118e+04	-5.920315e-04	2.954462e-02	0.000000e+00	-6.054900e+03	2.976608e+04
2.142000e-02	3.533107e+04	-6.272096e-04	2.958643e-02	0.000000e+00	-7.551789e+03	4.288286e+04
2.261000e-02	3.120125e+04	-6.624472e-04	2.963355e-02	0.000000e+00	-6.745457e+03	3.794671e+04
2.380000e-02	3.548370e+04	-6.977374e-04	2.968077e-02	0.000000e+00	-7.297718e+03	4.278142e+04
2.499000e-02	3.989514e+04	-7.330874e-04	2.973415e-02	0.000000e+00	-5.056265e+03	4.495141e+04
