#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-1.499950e+03	0.000000e+00	5.400600e-02	0.000000e+00	-1.910327e+03	4.103767e+02
1.190000e-03	-3.615231e+03	-6.426588e-05	5.400238e-02	0.000000e+00	-5.425782e+03	1.810551e+03
2.380000e-03	2.748306e+03	-1.285257e-04	5.400177e-02	0.000000e+00	-4.492018e+03	7.240324e+03
3.570000e-03	6.544400e+03	-1.927901e-04	5.400835e-02	0.000000e+00	-6.105497e+03	1.264990e+04
4.760000e-03	4.542547e+03	-2.570655e-04	5.401620e-02	0.000000e+00	-6.933250e+03	1.147580e+04
5.950000e-03	5.050768e+03	-3.213486e-04	5.402299e-02	0.000000e+00	-7.290214e+03	1.234098e+04
7.140000e-03	9.592436e+03	-3.856403e-04	5.403336e-02	0.000000e+00	-5.167035e+03	1.475947e+04
8.330000e-03	8.648965e+03	-4.499481e-04	5.404628e-02	0.000000e+00	-5.767748e+03	1.441671e+04
9.520000e-03	1.119584e+04	-5.142704e-04	5.406034e-02	0.000000e+00	-6.863755e+03	1.805960e+04
1.071000e-02	1.552078e+04	-5.786116e-04	5.407925e-02	0.000000e+00	-4.148586e+03	1.966936e+04
1.190000e-02	2.455622e+04	-6.429790e-04	5.410764e-02	0.000000e+00	-4.812848e+03	2.936907e+04
1.309000e-02	2.352958e+04	-7.073878e-04	5.414169e-02	0.000000e+00	-5.020529e+03	2.855011e+04
1.428000e-02	1.419800e+04	-7.718363e-04	5.416841e-02	0.000000e+00	-4.851198e+03	1.904920e+04
1.547000e-02	1.661229e+04	-8.363086e-04	5.419022e-02	0.000000e+00	-6.687827e+03	2.330012e+04
1.666000e-02	3.116329e+04	-9.008090e-04	5.422406e-02	0.000000e+00	-4.745692e+03	3.590898e+04
1.785000e-02	2.884457e+04	-9.653619e-04	5.426655e-02	0.000000e+00	-4.591454e+03	3.343602e+04
1.904000e-02	3.125257e+04	-1.029963e-03	5.430911e-02	0.000000e+00	-3.760041e+03	3.501261e+04
2.023000e-02	2.768276e+04	-1.094618e-03	5.435085e-02	0.000000e+00	-5.180177e+03	3.286294e+04
2.142000e-02	2.560928e+04	-1.159318e-03	5.438859e-02	0.000000e+00	-7.888273e+03	3.349755e+04
2.261000e-02	2.496592e+04	-1.224062e-03	5.442440e-02	0.000000e+00	-8.649490e+03	3.361541e+04
2.380000e-02	1.828077e+04	-1.288848e-03	5.445503e-02	0.000000e+00	-1.168626e+04	2.996702e+04
2.499000e-02	3.124986e+04	-1.353665e-03	5.449010e-02	0.000000e+00	-4.660183e+03	3.591005e+04
2.618000e-02	3.345169e+04	-1.418535e-03	5.453592e-02	0.000000e+00	-5.649360e+03	3.910105e+04
2.737000e-02	3.210728e+04	-1.483461e-03	5.458235e-02	0.000000e+00	-2.974548e+03	3.508183e+04
2.856000e-02	3.437361e+04	-1.548441e-03	5.462943e-02	0.000000e+00	-2.847720e+03	3.722133e+04
2.975000e-02	3.861674e+04	-1.613479e-03	5.468112e-02	0.000000e+00	-3.556923e+03	4.217366e+04
3.094000e-02	3.711158e+04	-1.678582e-03	5.473475e-02	0.000000e+00	-3.903761e+03	4.101534e+04
3.213000e-02	4.349479e+04	-1.743748e-03	5.479183e-02	0.000000e+00	-3.014742e+03	4.650954e+04
