#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-8.462500e+02	0.000000e+00	1.370496e-01	0.000000e+00	-1.491433e+03	6.451834e+02
1.190000e-03	-1.070830e+03	-1.630883e-04	1.370482e-01	0.000000e+00	-2.859448e+03	1.788617e+03
2.380000e-03	-2.376630e+03	-3.261748e-04	1.370458e-01	0.000000e+00	-5.111284e+03	2.734654e+03
3.570000e-03	2.099546e+03	-4.892573e-04	1.370456e-01	0.000000e+00	-4.125493e+03	6.225038e+03
4.760000e-03	4.841203e+03	-6.523433e-04	1.370505e-01	0.000000e+00	-3.100369e+03	7.941572e+03
5.950000e-03	6.574961e+03	-8.154375e-04	1.370586e-01	0.000000e+00	-4.172061e+03	1.074702e+04
7.140000e-03	1.072301e+04	-9.785428e-04	1.370708e-01	0.000000e+00	-3.104701e+03	1.382771e+04
8.330000e-03	1.396600e+04	-1.141666e-03	1.370883e-01	0.000000e+00	-3.086080e+03	1.705208e+04
9.520000e-03	1.235633e+04	-1.304813e-03	1.371070e-01	0.000000e+00	-5.704377e+03	1.806071e+04
1.071000e-02	1.462643e+04	-1.467981e-03	1.371261e-01	0.000000e+00	-4.233073e+03	1.885950e+04
1.190000e-02	1.661777e+04	-1.631173e-03	1.371482e-01	0.000000e+00	-1.651058e+03	1.826883e+04
1.309000e-02	1.363757e+04	-1.794393e-03	1.371696e-01	0.000000e+00	-3.117774e+03	1.675535e+04
1.428000e-02	1.343493e+04	-1.957637e-03	1.371888e-01	0.000000e+00	-6.549515e+03	1.998445e+04
1.547000e-02	7.780804e+03	-2.120903e-03	1.372038e-01	0.000000e+00	-5.240783e+03	1.302159e+04
1.666000e-02	1.210054e+04	-2.284182e-03	1.372179e-01	0.000000e+00	-3.472266e+03	1.557281e+04
1.785000e-02	1.153547e+04	-2.447481e-03	1.372346e-01	0.000000e+00	-4.264883e+03	1.580036e+04
1.904000e-02	1.113926e+04	-2.610800e-03	1.372507e-01	0.000000e+00	-5.423259e+03	1.656252e+04
2.023000e-02	8.572084e+03	-2.774138e-03	1.372647e-01	0.000000e+00	-3.317477e+03	1.188956e+04
2.142000e-02	8.196107e+03	-2.937490e-03	1.372765e-01	0.000000e+00	-2.554208e+03	1.075032e+04
2.261000e-02	9.515531e+03	-3.100856e-03	1.372891e-01	0.000000e+00	-1.423436e+03	1.093897e+04
2.380000e-02	1.214827e+04	-3.264238e-03	1.373044e-01	0.000000e+00	-4.074023e+03	1.622229e+04
2.499000e-02	7.512872e+03	-3.427641e-03	1.373183e-01	0.000000e+00	-5.282771e+03	1.279564e+04
2.618000e-02	1.491287e+04	-3.591056e-03	1.373342e-01	0.000000e+00	-4.327675e+03	1.924055e+04
2.737000e-02	2.075963e+04	-3.754496e-03	1.373595e-01	0.000000e+00	-5.438916e+03	2.619855e+04
2.856000e-02	2.100070e+04	-3.917971e-03	1.373891e-01	0.000000e+00	-4.600102e+03	2.560080e+04
2.975000e-02	1.405624e+04	-4.081482e-03	1.374139e-01	0.000000e+00	-5.222824e+03	1.927906e+04
3.094000e-02	1.454677e+04	-4.245016e-03	1.374341e-01	0.000000e+00	-4.213642e+03	1.876042e+04
3.213000e-02	1.057662e+04	-4.408575e-03	1.374519e-01	0.000000e+00	-4.149714e+03	1.472633e+04
3.332000e-02	1.361558e+04	-4.572152e-03	1.374691e-01	0.000000e+00	-3.043967e+03	1.665955e+04
3.451000e-02	1.455463e+04	-4.735752e-03	1.374890e-01	0.000000e+00	-2.711094e+03	1.726572e+04
3.570000e-02	1.623592e+04	-4.899376e-03	1.375108e-01	0.000000e+00	-3.837451e+03	2.007337e+04
3.689000e-02	1.519097e+04	-5.063027e-03	1.375331e-01	0.000000e+00	-3.872316e+03	1.906329e+04
3.808000e-02	1.268171e+04	-5.226705e-03	1.375528e-01	0.000000e+00	-4.354090e+03	1.703580e+04
3.927000e-02	1.580192e+04	-5.390403e-03	1.375730e-01	0.000000e+00	-1.544232e+03	1.734616e+04
4.046000e-02	1.358204e+04	-5.554128e-03	1.375938e-01	0.000000e+00	-4.150549e+03	1.773259e+04
4.165000e-02	1.855189e+04	-5.717876e-03	1.376165e-01	0.000000e+00	-1.830606e+03	2.038249e+04
