#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-2.482824e+03	0.000000e+00	2.451802e-02	0.000000e+00	-2.556550e+03	7.372529e+01
1.190000e-03	1.283726e+01	-2.917435e-05	2.451627e-02	0.000000e+00	-6.374809e+03	6.387647e+03
2.380000e-03	2.772123e+03	-5.834872e-05	2.451824e-02	0.000000e+00	-8.953810e+03	1.172593e+04
3.570000e-03	8.490701e+03	-8.752776e-05	2.452622e-02	0.000000e+00	-4.667495e+03	1.315820e+04
4.760000e-03	5.450571e+03	-1.167211e-04	2.453609e-02	0.000000e+00	-6.507308e+03	1.195788e+04
5.950000e-03	1.439720e+04	-1.459237e-04	2.455014e-02	0.000000e+00	-6.339769e+03	2.073697e+04
7.140000e-03	1.368410e+04	-1.751505e-04	2.457003e-02	0.000000e+00	-8.729902e+03	2.241401e+04
8.330000e-03	2.038549e+04	-2.044003e-04	2.459416e-02	0.000000e+00	-5.608912e+03	2.599440e+04
9.520000e-03	1.755282e+04	-2.336846e-04	2.462102e-02	0.000000e+00	-6.464562e+03	2.401739e+04
1.071000e-02	1.997755e+04	-2.629984e-04	2.464760e-02	0.000000e+00	-6.907430e+03	2.688498e+04
1.190000e-02	2.662676e+04	-2.923458e-04	2.468061e-02	0.000000e+00	-4.058436e+03	3.068520e+04
1.309000e-02	2.751574e+04	-3.217382e-04	2.471895e-02	0.000000e+00	-6.004868e+03	3.352061e+04
1.428000e-02	2.770293e+04	-3.511769e-04	2.475805e-02	0.000000e+00	-6.849783e+03	3.455271e+04
1.547000e-02	3.150483e+04	-3.806624e-04	2.479998e-02	0.000000e+00	-7.774256e+03	3.927908e+04
1.666000e-02	3.868781e+04	-4.102009e-04	2.484969e-02	0.000000e+00	-6.778437e+03	4.546625e+04
1.785000e-02	3.456032e+04	-4.398046e-04	2.490156e-02	0.000000e+00	-6.094091e+03	4.065441e+04
1.904000e-02	2.728709e+04	-4.694666e-04	2.494536e-02	0.000000e+00	-5.186916e+03	3.247400e+04
2.023000e-02	2.960994e+04	-4.991746e-04	2.498565e-02	0.000000e+00	-6.928368e+03	3.653831e+04
2.142000e-02	3.655360e+04	-5.289325e-04	2.503251e-02	0.000000e+00	-9.879165e+03	4.643276e+04
2.261000e-02	3.524390e+04	-5.587519e-04	2.508335e-02	0.000000e+00	-1.038457e+04	4.562847e+04
2.380000e-02	4.157247e+04	-5.886308e-04	2.513775e-02	0.000000e+00	-6.204467e+03	4.777693e+04
2.499000e-02	4.108802e+04	-6.185798e-04	2.519629e-02	0.000000e+00	-5.616217e+03	4.670424e+04
2.618000e-02	4.603153e+04	-6.485980e-04	2.525798e-02	0.000000e+00	-6.088058e+03	5.211959e+04
2.737000e-02	5.286127e+04	-6.786938e-04	2.532801e-02	0.000000e+00	-5.082471e+03	5.794374e+04
2.856000e-02	4.897053e+04	-7.088787e-04	2.540013e-02	0.000000e+00	-8.361264e+03	5.733179e+04
2.975000e-02	4.745691e+04	-7.391461e-04	2.546841e-02	0.000000e+00	-7.249659e+03	5.470657e+04
3.094000e-02	4.003040e+04	-7.694935e-04	2.553037e-02	0.000000e+00	-7.734943e+03	4.776534e+04
3.213000e-02	4.684843e+04	-7.999084e-04	2.559189e-02	0.000000e+00	-7.419424e+03	5.426785e+04
3.332000e-02	4.900991e+04	-8.304022e-04	2.565978e-02	0.000000e+00	-6.550634e+03	5.556055e+04
3.451000e-02	5.555213e+04	-8.609786e-04	2.573382e-02	0.000000e+00	-1.041206e+04	6.596418e+04
3.570000e-02	5.816704e+04	-8.916487e-04	2.581436e-02	0.000000e+00	-7.725397e+03	6.589244e+04
3.689000e-02	4.295550e+04	-9.224168e-04	2.588597e-02	0.000000e+00	-8.927724e+03	5.188322e+04
3.808000e-02	5.468593e+04	-9.532573e-04	2.595511e-02	0.000000e+00	-6.427497e+03	6.111343e+04
3.927000e-02	5.781273e+04	-9.841900e-04	2.603478e-02	0.000000e+00	-8.291445e+03	6.610418e+04
4.046000e-02	4.844060e+04	-1.015220e-03	2.611003e-02	0.000000e+00	-7.658158e+03	5.609876e+04
4.165000e-02	6.019904e+04	-1.046332e-03	2.618696e-02	0.000000e+00	-4.841004e+03	6.504004e+04
4.284000e-02	5.858962e+04	-1.077545e-03	2.627108e-02	0.000000e+00	-7.301985e+03	6.589161e+04
4.403000e-02	6.041164e+04	-1.108857e-03	2.635535e-02	0.000000e+00	-5.270905e+03	6.568254e+04
4.522000e-02	5.846953e+04	-1.140271e-03	2.643954e-02	0.000000e+00	-9.199358e+03	6.766889e+04
4.641000e-02	5.495976e+04	-1.171783e-03	2.651987e-02	0.000000e+00	-6.526530e+03	6.148629e+04
