#id	m	q	x	vx	vy
4.515480e+05	1.000000e+00	-1.000000e+00	4.808891e-03	-2.496644e-01	5.220961e-04
4.515490e+05	1.000000e+00	-1.000000e+00	3.187738e-02	-4.237185e-01	-6.576778e-04
4.515500e+05	1.000000e+00	-1.000000e+00	2.983860e-02	-4.375350e-01	-1.682802e-04
4.515510e+05	1.000000e+00	-1.000000e+00	1.352742e-02	-5.013068e-01	1.869409e-04
4.515540e+05	1.000000e+00	-1.000000e+00	1.015212e-02	-5.303115e-01	7.879666e-04
4.515570e+05	1.000000e+00	-1.000000e+00	2.290562e-02	-3.972632e-01	-8.326677e-04
4.515580e+05	1.000000e+00	-1.000000e+00	6.614240e-04	-3.967338e-01	7.390050e-04
4.515590e+05	1.000000e+00	-1.000000e+00	8.771331e-03	-2.635554e-01	-1.643816e-03
4.515620e+05	1.000000e+00	-1.000000e+00	2.317195e-02	-4.085298e-01	-3.140728e-05
4.515630e+05	1.000000e+00	-1.000000e+00	2.932046e-02	-4.638856e-01	-8.279518e-05
4.515670e+05	1.000000e+00	-1.000000e+00	4.279467e-03	-3.361834e-01	-5.015118e-04
4.515690e+05	1.000000e+00	-1.000000e+00	3.066550e-02	-3.795806e-01	-6.612329e-04
4.515700e+05	1.000000e+00	-1.000000e+00	1.940440e-02	-3.151991e-01	1.641012e-04
4.515720e+05	1.000000e+00	-1.000000e+00	2.735212e-03	-2.139802e-01	8.713977e-05
4.515750e+05	1.000000e+00	-1.000000e+00	6.260208e-03	-5.238151e-01	-4.647708e-04
4.515760e+05	1.000000e+00	-1.000000e+00	3.798028e-02	-4.540340e-01	2.310923e-03
4.515780e+05	1.000000e+00	-1.000000e+00	1.483561e-02	-2.696680e-01	-6.402628e-05
4.515790e+05	1.000000e+00	-1.000000e+00	7.151608e-03	-3.917298e-01	2.882272e-03
4.515800e+05	1.000000e+00	-1.000000e+00	2.238389e-02	-3.315491e-01	8.596278e-04
4.515820e+05	1.000000e+00	-1.000000e+00	5.271606e-03	-5.698738e-01	-8.395862e-05
4.515840e+05	1.000000e+00	-1.000000e+00	1.853080e-02	-2.881303e-01	-1.023777e-03
4.515860e+05	1.000000e+00	-1.000000e+00	1.486086e-02	-2.473150e-01	-5.119280e-04
4.515890e+05	1.000000e+00	-1.000000e+00	1.111363e-02	-2.440245e-01	-9.247157e-04
4.515910e+05	1.000000e+00	-1.000000e+00	1.299845e-02	-4.058426e-01	7.048748e-04
4.515930e+05	1.000000e+00	-1.000000e+00	3.715037e-02	-5.544311e-01	4.666026e-04
4.515950e+05	1.000000e+00	-1.000000e+00	2.846700e-02	-4.863379e-01	1.679801e-03
4.515960e+05	1.000000e+00	-1.000000e+00	2.359994e-02	-3.989773e-01	-2.776005e-03
4.515970e+05	1.000000e+00	-1.000000e+00	2.164179e-02	-4.366180e-01	-2.068665e-03
4.515980e+05	1.000000e+00	-1.000000e+00	2.852650e-02	-3.088684e-01	-1.670223e-05
4.516000e+05	1.000000e+00	-1.000000e+00	3.387568e-02	-4.936480e-01	9.398452e-05
4.516010e+05	1.000000e+00	-1.000000e+00	1.019418e-02	-3.257912e-01	8.271821e-04
4.516020e+05	1.000000e+00	-1.000000e+00	2.165317e-02	-3.163997e-01	-6.401647e-05
4.516030e+05	1.000000e+00	-1.000000e+00	3.114969e-02	-5.787893e-01	-3.268468e-04
4.516060e+05	1.000000e+00	-1.000000e+00	8.358767e-04	-3.257672e-01	1.477515e-04
4.516080e+05	1.000000e+00	-1.000000e+00	3.022749e-03	-2.307143e-01	5.850546e-04
4.516090e+05	1.000000e+00	-1.000000e+00	2.614749e-02	-3.637616e-01	-7.759823e-04
4.516100e+05	1.000000e+00	-1.000000e+00	1.636954e-02	-4.700133e-01	1.237458e-03
4.516110e+05	1.000000e+00	-1.000000e+00	3.709872e-02	-4.646867e-01	-2.171181e-04
4.516120e+05	1.000000e+00	-1.000000e+00	1.671849e-02	-4.580304e-01	9.232860e-04
4.516130e+05	1.000000e+00	-1.000000e+00	3.202208e-03	-2.118514e-01	8.594506e-04
4.516140e+05	1.000000e+00	-1.000000e+00	3.377641e-02	-3.459383e-01	1.039383e-03
4.516160e+05	1.000000e+00	-1.000000e+00	1.272964e-02	-4.896466e-01	9.027868e-05
4.516170e+05	1.000000e+00	-1.000000e+00	6.831748e-03	-5.498091e-01	-3.272289e-04
4.516180e+05	1.000000e+00	-1.000000e+00	3.845356e-02	-4.106314e-01	1.218894e-03
4.516200e+05	1.000000e+00	-1.000000e+00	3.450149e-02	-3.656442e-01	-4.153120e-04
4.516220e+05	1.000000e+00	-1.000000e+00	2.414937e-03	-3.017475e-01	4.643864e-04
4.516270e+05	1.000000e+00	-1.000000e+00	1.381108e-02	-4.985338e-01	-2.700940e-04
4.516300e+05	1.000000e+00	-1.000000e+00	4.403650e-02	-4.570143e-01	-1.854667e-03
4.516310e+05	1.000000e+00	-1.000000e+00	3.689186e-02	-4.897768e-01	7.814219e-04
4.516320e+05	1.000000e+00	-1.000000e+00	1.899698e-03	-2.229302e-01	4.918029e-04
4.516340e+05	1.000000e+00	-1.000000e+00	3.571286e-02	-4.429047e-01	9.382620e-04
4.516350e+05	1.000000e+00	-1.000000e+00	5.882118e-03	-4.494739e-01	1.143526e-03
4.516370e+05	1.000000e+00	-1.000000e+00	6.767749e-03	-2.978907e-01	2.783694e-04
4.516400e+05	1.000000e+00	-1.000000e+00	1.767315e-02	-2.704864e-01	3.993181e-04
4.516410e+05	1.000000e+00	-1.000000e+00	3.573846e-04	-1.950694e-01	-2.188916e-03
4.516420e+05	1.000000e+00	-1.000000e+00	9.954340e-03	-5.657764e-01	1.067955e-03
