#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-3.910756e+03	0.000000e+00	1.185971e-01	0.000000e+00	-4.853265e+03	9.425096e+02
1.190000e-03	-8.913181e+02	-1.411272e-04	1.185937e-01	0.000000e+00	-4.280397e+03	3.389079e+03
2.380000e-03	1.244191e+03	-2.822530e-04	1.185939e-01	0.000000e+00	-5.524392e+03	6.768583e+03
3.570000e-03	5.689707e+03	-4.233808e-04	1.185989e-01	0.000000e+00	-4.603264e+03	1.029297e+04
4.760000e-03	1.831155e+03	-5.645183e-04	1.186042e-01	0.000000e+00	-7.956473e+03	9.787628e+03
5.950000e-03	5.147983e+03	-7.056588e-04	1.186091e-01	0.000000e+00	-4.351156e+03	9.499139e+03
7.140000e-03	8.773720e+03	-8.468080e-04	1.186190e-01	0.000000e+00	-2.569588e+03	1.134331e+04
8.330000e-03	1.587914e+04	-9.879720e-04	1.186364e-01	0.000000e+00	-2.933029e+03	1.881217e+04
9.520000e-03	9.580989e+03	-1.129163e-03	1.186545e-01	0.000000e+00	-4.038127e+03	1.361912e+04
1.071000e-02	2.094372e+04	-1.270370e-03	1.186761e-01	0.000000e+00	-1.554729e+03	2.249845e+04
1.190000e-02	1.652242e+04	-1.411612e-03	1.187026e-01	0.000000e+00	-3.510843e+03	2.003326e+04
1.309000e-02	1.548789e+04	-1.552882e-03	1.187253e-01	0.000000e+00	-3.404569e+03	1.889246e+04
1.428000e-02	1.802716e+04	-1.694178e-03	1.187490e-01	0.000000e+00	-9.234912e+02	1.895065e+04
1.547000e-02	1.682308e+04	-1.835504e-03	1.187737e-01	0.000000e+00	-1.574305e+03	1.839739e+04
1.666000e-02	1.438095e+04	-1.976859e-03	1.187958e-01	0.000000e+00	-8.635482e+02	1.524449e+04
1.785000e-02	1.622535e+04	-2.118238e-03	1.188175e-01	0.000000e+00	-1.193215e+03	1.741857e+04
1.904000e-02	1.858338e+04	-2.259645e-03	1.188421e-01	0.000000e+00	-2.210556e+03	2.079393e+04
2.023000e-02	1.831246e+04	-2.401083e-03	1.188683e-01	0.000000e+00	-5.181890e+03	2.349435e+04
2.142000e-02	1.875874e+04	-2.542551e-03	1.188945e-01	0.000000e+00	-4.439608e+03	2.319835e+04
2.261000e-02	2.223680e+04	-2.684052e-03	1.189235e-01	0.000000e+00	-3.445500e+03	2.568230e+04
2.380000e-02	2.904328e+04	-2.825589e-03	1.189598e-01	0.000000e+00	-2.644508e+03	3.168778e+04
2.499000e-02	1.922922e+04	-2.967176e-03	1.189940e-01	0.000000e+00	-5.829631e+03	2.505885e+04
2.618000e-02	2.956764e+04	-3.108795e-03	1.190286e-01	0.000000e+00	-1.105512e+03	3.067315e+04
2.737000e-02	2.698716e+04	-3.250464e-03	1.190686e-01	0.000000e+00	-2.111898e+02	2.719835e+04
2.856000e-02	3.290211e+04	-3.392179e-03	1.191111e-01	0.000000e+00	-1.663458e+03	3.456557e+04
2.975000e-02	3.527598e+04	-3.533948e-03	1.191593e-01	0.000000e+00	-3.341404e+03	3.861739e+04
3.094000e-02	2.248436e+04	-3.675778e-03	1.192002e-01	0.000000e+00	-5.069487e+03	2.755385e+04
