#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-1.194897e+03	0.000000e+00	4.706540e-02	0.000000e+00	-1.194897e+03	0.000000e+00
1.190000e-03	-1.123690e+03	-5.600681e-05	4.706375e-02	0.000000e+00	-2.502183e+03	1.378493e+03
2.380000e-03	9.968840e+02	-1.120117e-04	4.706366e-02	0.000000e+00	-5.707973e+03	6.704857e+03
3.570000e-03	5.857080e+03	-1.680183e-04	4.706852e-02	0.000000e+00	-4.393250e+03	1.025033e+04
4.760000e-03	3.768368e+03	-2.240348e-04	4.707533e-02	0.000000e+00	-5.055439e+03	8.823806e+03
5.950000e-03	3.563537e+03	-2.800576e-04	4.708053e-02	0.000000e+00	-8.029546e+03	1.159308e+04
7.140000e-03	7.631630e+03	-3.360865e-04	4.708845e-02	0.000000e+00	-7.161124e+03	1.479275e+04
8.330000e-03	1.346727e+04	-3.921282e-04	4.710340e-02	0.000000e+00	-2.629243e+03	1.609651e+04
9.520000e-03	1.504734e+04	-4.481925e-04	4.712359e-02	0.000000e+00	-4.146591e+03	1.919393e+04
1.071000e-02	1.260021e+04	-5.042823e-04	4.714317e-02	0.000000e+00	-6.531001e+03	1.913121e+04
1.190000e-02	2.444624e+04	-5.603933e-04	4.716940e-02	0.000000e+00	-6.410709e+03	3.085695e+04
1.309000e-02	1.884353e+04	-6.165455e-04	4.720006e-02	0.000000e+00	-5.490873e+03	2.433440e+04
1.428000e-02	1.831446e+04	-6.727294e-04	4.722637e-02	0.000000e+00	-7.001918e+03	2.531637e+04
1.547000e-02	1.998323e+04	-7.289442e-04	4.725349e-02	0.000000e+00	-4.697189e+03	2.468041e+04
1.666000e-02	2.427596e+04	-7.851927e-04	4.728484e-02	0.000000e+00	-5.135588e+03	2.941155e+04
1.785000e-02	2.820913e+04	-8.414822e-04	4.732201e-02	0.000000e+00	-6.118769e+03	3.432790e+04
1.904000e-02	1.977421e+04	-8.978191e-04	4.735599e-02	0.000000e+00	-4.573389e+03	2.434760e+04
2.023000e-02	2.343021e+04	-9.541894e-04	4.738658e-02	0.000000e+00	-2.733018e+03	2.616323e+04
2.142000e-02	2.159220e+04	-1.010599e-03	4.741846e-02	0.000000e+00	-3.056266e+03	2.464847e+04
2.261000e-02	2.256526e+04	-1.067045e-03	4.744974e-02	0.000000e+00	-5.226532e+03	2.779179e+04
2.380000e-02	3.005764e+04	-1.123530e-03	4.748700e-02	0.000000e+00	-5.102498e+03	3.516014e+04
2.499000e-02	3.882606e+04	-1.180064e-03	4.753578e-02	0.000000e+00	-6.814300e+03	4.564036e+04
2.618000e-02	4.124480e+04	-1.236665e-03	4.759249e-02	0.000000e+00	-6.160529e+03	4.740532e+04
2.737000e-02	3.711829e+04	-1.293335e-03	4.764798e-02	0.000000e+00	-7.328207e+03	4.444650e+04
2.856000e-02	3.342456e+04	-1.350067e-03	4.769794e-02	0.000000e+00	-8.686829e+03	4.211139e+04
2.975000e-02	3.525281e+04	-1.406856e-03	4.774657e-02	0.000000e+00	-6.997587e+03	4.225040e+04
3.094000e-02	4.934592e+04	-1.463704e-03	4.780648e-02	0.000000e+00	-6.171104e+03	5.551702e+04
3.213000e-02	4.102458e+04	-1.520635e-03	4.787048e-02	0.000000e+00	-5.769577e+03	4.679416e+04
3.332000e-02	2.886781e+04	-1.577635e-03	4.791997e-02	0.000000e+00	-4.971473e+03	3.383928e+04
3.451000e-02	3.538107e+04	-1.634685e-03	4.796547e-02	0.000000e+00	-5.238996e+03	4.062006e+04
3.570000e-02	3.927542e+04	-1.691793e-03	4.801834e-02	0.000000e+00	-4.510708e+03	4.378613e+04
3.689000e-02	4.982671e+04	-1.748968e-03	4.808144e-02	0.000000e+00	-4.355469e+03	5.418218e+04
3.808000e-02	5.056857e+04	-1.806227e-03	4.815254e-02	0.000000e+00	-5.757652e+03	5.632622e+04
3.927000e-02	4.889747e+04	-1.863571e-03	4.822297e-02	0.000000e+00	-4.851422e+03	5.374889e+04
