#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-2.767301e+03	0.000000e+00	2.487408e-02	0.000000e+00	-3.589287e+03	8.219862e+02
1.190000e-03	-2.357000e+03	-2.959782e-05	2.487045e-02	0.000000e+00	-6.597259e+03	4.240259e+03
2.380000e-03	-4.120540e+03	-5.919168e-05	2.486587e-02	0.000000e+00	-1.123674e+04	7.116201e+03
3.570000e-03	4.513188e+02	-8.877858e-05	2.486327e-02	0.000000e+00	-1.438747e+04	1.483879e+04
4.760000e-03	1.163107e+04	-1.183663e-04	2.487182e-02	0.000000e+00	-6.973463e+03	1.860454e+04
5.950000e-03	2.985655e+03	-1.479735e-04	2.488217e-02	0.000000e+00	-1.040593e+04	1.339159e+04
7.140000e-03	2.253041e+04	-1.775858e-04	2.490024e-02	0.000000e+00	-5.097355e+03	2.762777e+04
8.330000e-03	1.768960e+04	-2.072361e-04	2.492873e-02	0.000000e+00	-6.275081e+03	2.396468e+04
9.520000e-03	2.283293e+04	-2.369162e-04	2.495742e-02	0.000000e+00	-4.383318e+03	2.721625e+04
1.071000e-02	1.853678e+04	-2.666348e-04	2.498672e-02	0.000000e+00	-8.548264e+03	2.708505e+04
1.190000e-02	2.172058e+04	-2.963846e-04	2.501523e-02	0.000000e+00	-4.523943e+03	2.624452e+04
1.309000e-02	2.099702e+04	-3.261710e-04	2.504548e-02	0.000000e+00	-5.883454e+03	2.688047e+04
1.428000e-02	2.548001e+04	-3.559928e-04	2.507839e-02	0.000000e+00	-4.195608e+03	2.967561e+04
1.547000e-02	2.854228e+04	-3.858576e-04	2.511665e-02	0.000000e+00	-4.978203e+03	3.352048e+04
1.666000e-02	2.471229e+04	-4.157705e-04	2.515436e-02	0.000000e+00	-8.063270e+03	3.277557e+04
1.785000e-02	2.751146e+04	-4.457250e-04	2.519135e-02	0.000000e+00	-8.051508e+03	3.556297e+04
1.904000e-02	3.483235e+04	-4.757259e-04	2.523549e-02	0.000000e+00	-5.903965e+03	4.073631e+04
2.023000e-02	2.926704e+04	-5.057854e-04	2.528089e-02	0.000000e+00	-5.632141e+03	3.489918e+04
2.142000e-02	2.969006e+04	-5.358944e-04	2.532264e-02	0.000000e+00	-5.356837e+03	3.504690e+04
2.261000e-02	3.680169e+04	-5.660533e-04	2.536973e-02	0.000000e+00	-4.994836e+03	4.179652e+04
2.380000e-02	4.449918e+04	-5.962743e-04	2.542730e-02	0.000000e+00	-4.167140e+03	4.866632e+04
2.499000e-02	4.404094e+04	-6.265703e-04	2.549000e-02	0.000000e+00	-6.440811e+03	5.048175e+04
2.618000e-02	4.751007e+04	-6.569405e-04	2.555483e-02	0.000000e+00	-6.887275e+03	5.439735e+04
2.737000e-02	4.869151e+04	-6.873908e-04	2.562296e-02	0.000000e+00	-6.335232e+03	5.502675e+04
2.856000e-02	4.914284e+04	-7.179232e-04	2.569224e-02	0.000000e+00	-8.212807e+03	5.735565e+04
2.975000e-02	4.358372e+04	-7.485383e-04	2.575791e-02	0.000000e+00	-5.226874e+03	4.881059e+04
3.094000e-02	4.558566e+04	-7.792270e-04	2.582106e-02	0.000000e+00	-4.095264e+03	4.968093e+04
3.213000e-02	5.897620e+04	-8.099925e-04	2.589510e-02	0.000000e+00	-7.311945e+03	6.628814e+04
3.332000e-02	6.144913e+04	-8.408573e-04	2.598038e-02	0.000000e+00	-5.213497e+03	6.666262e+04
3.451000e-02	5.422401e+04	-8.718258e-04	2.606230e-02	0.000000e+00	-4.594314e+03	5.881832e+04
3.570000e-02	4.319042e+04	-9.028856e-04	2.613129e-02	0.000000e+00	-7.542825e+03	5.073324e+04
3.689000e-02	4.693100e+04	-9.340182e-04	2.619511e-02	0.000000e+00	-8.352377e+03	5.528338e+04
3.808000e-02	5.133416e+04	-9.652300e-04	2.626469e-02	0.000000e+00	-7.141622e+03	5.847579e+04
3.927000e-02	6.031774e+04	-9.965282e-04	2.634376e-02	0.000000e+00	-9.367753e+03	6.968550e+04
4.046000e-02	4.674427e+04	-1.027928e-03	2.641958e-02	0.000000e+00	-6.710559e+03	5.345482e+04
4.165000e-02	5.098433e+04	-1.059407e-03	2.648879e-02	0.000000e+00	-7.276605e+03	5.826094e+04
4.284000e-02	6.333935e+04	-1.090971e-03	2.656975e-02	0.000000e+00	-7.576419e+03	7.091577e+04
4.403000e-02	6.771876e+04	-1.122643e-03	2.666256e-02	0.000000e+00	-8.949339e+03	7.666810e+04
4.522000e-02	6.121333e+04	-1.154428e-03	2.675386e-02	0.000000e+00	-7.675372e+03	6.888871e+04
4.641000e-02	5.926272e+04	-1.186317e-03	2.683918e-02	0.000000e+00	-5.532623e+03	6.479534e+04
4.760000e-02	6.811101e+04	-1.218306e-03	2.692938e-02	0.000000e+00	-6.490659e+03	7.460167e+04
4.879000e-02	7.001732e+04	-1.250409e-03	2.702720e-02	0.000000e+00	-6.944030e+03	7.696135e+04
4.998000e-02	7.609251e+04	-1.282630e-03	2.713067e-02	0.000000e+00	-5.048495e+03	8.114101e+04
5.117000e-02	7.017803e+04	-1.314980e-03	2.723425e-02	0.000000e+00	-7.782757e+03	7.796078e+04
5.236000e-02	8.584078e+04	-1.347448e-03	2.734474e-02	0.000000e+00	-5.148072e+03	9.098886e+04
5.355000e-02	8.099034e+04	-1.380060e-03	2.746288e-02	0.000000e+00	-7.620006e+03	8.861034e+04
5.474000e-02	7.911549e+04	-1.412809e-03	2.757627e-02	0.000000e+00	-8.692024e+03	8.780751e+04
5.593000e-02	7.778421e+04	-1.445692e-03	2.768738e-02	0.000000e+00	-6.300817e+03	8.408503e+04
5.712000e-02	7.683397e+04	-1.478705e-03	2.779687e-02	0.000000e+00	-6.974274e+03	8.380824e+04
5.831000e-02	8.065477e+04	-1.511848e-03	2.790840e-02	0.000000e+00	-8.218496e+03	8.887327e+04
5.950000e-02	9.101246e+04	-1.545127e-03	2.802997e-02	0.000000e+00	-5.597446e+03	9.660991e+04
