#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-8.878466e+02	0.000000e+00	4.070225e-02	0.000000e+00	-1.383846e+03	4.959994e+02
1.190000e-03	-6.590239e+02	-4.843493e-05	4.070116e-02	0.000000e+00	-4.039733e+03	3.380710e+03
2.380000e-03	2.002097e+03	-9.686876e-05	4.070211e-02	0.000000e+00	-7.008694e+03	9.010792e+03
3.570000e-03	4.957171e+03	-1.453060e-04	4.070704e-02	0.000000e+00	-7.511899e+03	1.246907e+04
4.760000e-03	1.035742e+04	-1.937515e-04	4.071788e-02	0.000000e+00	-6.447232e+03	1.680465e+04
5.950000e-03	7.635964e+03	-2.422145e-04	4.073063e-02	0.000000e+00	-7.191184e+03	1.482715e+04
7.140000e-03	8.887135e+03	-2.906904e-04	4.074233e-02	0.000000e+00	-5.647215e+03	1.453435e+04
8.330000e-03	1.070611e+04	-3.391813e-04	4.075620e-02	0.000000e+00	-4.961691e+03	1.566780e+04
9.520000e-03	1.542058e+04	-3.876902e-04	4.077470e-02	0.000000e+00	-4.325082e+03	1.974566e+04
1.071000e-02	1.552242e+04	-4.362251e-04	4.079662e-02	0.000000e+00	-6.130048e+03	2.165247e+04
1.190000e-02	2.431575e+04	-4.847861e-04	4.082483e-02	0.000000e+00	-4.529995e+03	2.884575e+04
1.309000e-02	2.102056e+04	-5.333882e-04	4.085693e-02	0.000000e+00	-6.574540e+03	2.759510e+04
1.428000e-02	3.382083e+04	-5.820256e-04	4.089577e-02	0.000000e+00	-4.196027e+03	3.801685e+04
1.547000e-02	2.430100e+04	-6.307201e-04	4.093693e-02	0.000000e+00	-3.502114e+03	2.780311e+04
1.666000e-02	2.443375e+04	-6.794555e-04	4.097144e-02	0.000000e+00	-6.772042e+03	3.120579e+04
1.785000e-02	1.395722e+04	-7.282321e-04	4.099863e-02	0.000000e+00	-7.255189e+03	2.121241e+04
1.904000e-02	2.583171e+04	-7.770323e-04	4.102681e-02	0.000000e+00	-1.050605e+04	3.633776e+04
2.023000e-02	3.129366e+04	-8.258759e-04	4.106726e-02	0.000000e+00	-9.581889e+03	4.087554e+04
2.142000e-02	2.199191e+04	-8.747723e-04	4.110500e-02	0.000000e+00	-6.886958e+03	2.887887e+04
2.261000e-02	4.212187e+04	-9.237058e-04	4.115040e-02	0.000000e+00	-5.902697e+03	4.802456e+04
2.380000e-02	3.587524e+04	-9.727103e-04	4.120563e-02	0.000000e+00	-5.558273e+03	4.143352e+04
2.499000e-02	3.694276e+04	-1.021775e-03	4.125720e-02	0.000000e+00	-3.878956e+03	4.082172e+04
2.618000e-02	4.410553e+04	-1.070902e-03	4.131460e-02	0.000000e+00	-4.344613e+03	4.845014e+04
2.737000e-02	3.768605e+04	-1.120104e-03	4.137252e-02	0.000000e+00	-4.586942e+03	4.227299e+04
2.856000e-02	4.187332e+04	-1.169369e-03	4.142886e-02	0.000000e+00	-3.547989e+03	4.542131e+04
2.975000e-02	4.565304e+04	-1.218705e-03	4.149084e-02	0.000000e+00	-3.517789e+03	4.917083e+04
3.094000e-02	4.965100e+04	-1.268117e-03	4.155833e-02	0.000000e+00	-4.614596e+03	5.426560e+04
3.213000e-02	4.710659e+04	-1.317613e-03	4.162685e-02	0.000000e+00	-7.551483e+03	5.465807e+04
3.332000e-02	4.050432e+04	-1.367189e-03	4.168890e-02	0.000000e+00	-1.017042e+04	5.067474e+04
3.451000e-02	4.247878e+04	-1.416833e-03	4.174766e-02	0.000000e+00	-4.000867e+03	4.647965e+04
3.570000e-02	4.696273e+04	-1.466549e-03	4.181100e-02	0.000000e+00	-7.144221e+03	5.410695e+04
3.689000e-02	5.456152e+04	-1.516343e-03	4.188290e-02	0.000000e+00	-5.944822e+03	6.050634e+04
3.808000e-02	4.880362e+04	-1.566230e-03	4.195610e-02	0.000000e+00	-6.514140e+03	5.531776e+04
3.927000e-02	5.003810e+04	-1.616199e-03	4.202609e-02	0.000000e+00	-7.718038e+03	5.775614e+04
4.046000e-02	5.300232e+04	-1.666252e-03	4.209906e-02	0.000000e+00	-8.811548e+03	6.181387e+04
4.165000e-02	5.620045e+04	-1.716395e-03	4.217640e-02	0.000000e+00	-5.838319e+03	6.203877e+04
4.284000e-02	5.626157e+04	-1.766632e-03	4.225604e-02	0.000000e+00	-6.444812e+03	6.270638e+04
4.403000e-02	7.170311e+04	-1.816964e-03	4.234666e-02	0.000000e+00	-4.359015e+03	7.606213e+04
4.522000e-02	6.012844e+04	-1.867417e-03	4.244002e-02	0.000000e+00	-8.784533e+03	6.891297e+04
4.641000e-02	4.790164e+04	-1.917971e-03	4.251652e-02	0.000000e+00	-6.287557e+03	5.418920e+04
4.760000e-02	5.333919e+04	-1.968606e-03	4.258822e-02	0.000000e+00	-6.459411e+03	5.979860e+04
4.879000e-02	4.746550e+04	-2.019331e-03	4.265960e-02	0.000000e+00	-4.513396e+03	5.197890e+04
4.998000e-02	5.027604e+04	-2.070136e-03	4.272882e-02	0.000000e+00	-5.564972e+03	5.584102e+04
5.117000e-02	4.880552e+04	-2.121026e-03	4.279899e-02	0.000000e+00	-5.373696e+03	5.417922e+04
5.236000e-02	5.817321e+04	-2.171998e-03	4.287474e-02	0.000000e+00	-5.110275e+03	6.328349e+04
5.355000e-02	5.685739e+04	-2.223068e-03	4.295620e-02	0.000000e+00	-5.479018e+03	6.233641e+04
5.474000e-02	5.960819e+04	-2.274233e-03	4.303868e-02	0.000000e+00	-4.987447e+03	6.459563e+04
5.593000e-02	4.629185e+04	-2.325500e-03	4.311368e-02	0.000000e+00	-8.631052e+03	5.492291e+04
5.712000e-02	6.510382e+04	-2.376844e-03	4.319256e-02	0.000000e+00	-4.588350e+03	6.969217e+04
5.831000e-02	7.985284e+04	-2.428298e-03	4.329522e-02	0.000000e+00	-3.585187e+03	8.343803e+04
5.950000e-02	6.718995e+04	-2.479887e-03	4.339935e-02	0.000000e+00	-5.481944e+03	7.267190e+04
6.069000e-02	6.487469e+04	-2.531588e-03	4.349287e-02	0.000000e+00	-3.772124e+03	6.864681e+04
6.188000e-02	6.389200e+04	-2.583400e-03	4.358406e-02	0.000000e+00	-6.312784e+03	7.020478e+04
6.307000e-02	6.261507e+04	-2.635318e-03	4.367365e-02	0.000000e+00	-6.151198e+03	6.876626e+04
6.426000e-02	7.006450e+04	-2.687343e-03	4.376760e-02	0.000000e+00	-5.313912e+03	7.537841e+04
6.545000e-02	7.046330e+04	-2.739485e-03	4.386712e-02	0.000000e+00	-3.382799e+03	7.384610e+04
6.664000e-02	5.389749e+04	-2.791747e-03	4.395519e-02	0.000000e+00	-4.066829e+03	5.796432e+04
6.783000e-02	6.736362e+04	-2.844099e-03	4.404106e-02	0.000000e+00	-4.934067e+03	7.229768e+04
6.902000e-02	6.241002e+04	-2.896564e-03	4.413296e-02	0.000000e+00	-8.261530e+03	7.067155e+04
7.021000e-02	7.528296e+04	-2.949135e-03	4.423047e-02	0.000000e+00	-5.721440e+03	8.100440e+04
7.140000e-02	6.844958e+04	-3.001833e-03	4.433226e-02	0.000000e+00	-8.062073e+03	7.651165e+04
7.259000e-02	6.863149e+04	-3.054646e-03	4.442934e-02	0.000000e+00	-6.876379e+03	7.550787e+04
7.378000e-02	8.392059e+04	-3.107575e-03	4.453737e-02	0.000000e+00	-4.508853e+03	8.842944e+04
7.497000e-02	8.469471e+04	-3.160645e-03	4.465677e-02	0.000000e+00	-3.888080e+03	8.858279e+04
7.616000e-02	7.644282e+04	-3.213858e-03	4.477089e-02	0.000000e+00	-4.738861e+03	8.118168e+04
7.735000e-02	6.761102e+04	-3.267200e-03	4.487290e-02	0.000000e+00	-5.339253e+03	7.295028e+04
7.854000e-02	8.301288e+04	-3.320655e-03	4.497957e-02	0.000000e+00	-5.327082e+03	8.833996e+04
7.973000e-02	7.980501e+04	-3.374251e-03	4.509487e-02	0.000000e+00	-5.306548e+03	8.511156e+04
8.092000e-02	9.230028e+04	-3.427981e-03	4.521675e-02	0.000000e+00	-5.183947e+03	9.748423e+04
8.211000e-02	8.877013e+04	-3.481867e-03	4.534498e-02	0.000000e+00	-4.365235e+03	9.313536e+04
8.330000e-02	7.185712e+04	-3.535902e-03	4.545873e-02	0.000000e+00	-5.314203e+03	7.717132e+04
8.449000e-02	7.787933e+04	-3.590059e-03	4.556476e-02	0.000000e+00	-6.791526e+03	8.467085e+04
8.568000e-02	7.464333e+04	-3.644346e-03	4.567278e-02	0.000000e+00	-5.498874e+03	8.014221e+04
8.687000e-02	7.869375e+04	-3.698760e-03	4.578136e-02	0.000000e+00	-5.889301e+03	8.458305e+04
8.806000e-02	8.697640e+04	-3.753306e-03	4.589868e-02	0.000000e+00	-4.431904e+03	9.140830e+04
8.925000e-02	7.984432e+04	-3.807999e-03	4.601682e-02	0.000000e+00	-6.056548e+03	8.590086e+04
9.044000e-02	8.323066e+04	-3.862826e-03	4.613231e-02	0.000000e+00	-5.857551e+03	8.908821e+04
9.163000e-02	9.730390e+04	-3.917794e-03	4.626015e-02	0.000000e+00	-2.998384e+03	1.003023e+05
9.282000e-02	9.335088e+04	-3.972925e-03	4.639517e-02	0.000000e+00	-5.690420e+03	9.904130e+04
9.401000e-02	9.054972e+04	-4.028214e-03	4.652540e-02	0.000000e+00	-8.534024e+03	9.908375e+04
9.520000e-02	8.385548e+04	-4.083656e-03	4.664891e-02	0.000000e+00	-3.255679e+03	8.711116e+04
9.639000e-02	9.804112e+04	-4.139238e-03	4.677772e-02	0.000000e+00	-3.052794e+03	1.010939e+05
9.758000e-02	9.966991e+04	-4.194987e-03	4.691773e-02	0.000000e+00	-9.206358e+03	1.088763e+05
9.877000e-02	9.058615e+04	-4.250903e-03	4.705247e-02	0.000000e+00	-6.341539e+03	9.692769e+04
9.996000e-02	9.569177e+04	-4.306971e-03	4.718438e-02	0.000000e+00	-5.795311e+03	1.014871e+05
1.011500e-01	8.325624e+04	-4.363201e-03	4.731111e-02	0.000000e+00	-7.882055e+03	9.113829e+04
1.023400e-01	9.319295e+04	-4.419572e-03	4.743606e-02	0.000000e+00	-6.158869e+03	9.935182e+04
1.035300e-01	9.523260e+04	-4.476099e-03	4.756950e-02	0.000000e+00	-7.152165e+03	1.023848e+05
1.047200e-01	9.171415e+04	-4.532787e-03	4.770189e-02	0.000000e+00	-7.487417e+03	9.920157e+04
