#id	m	q	x	vx	vy
9.176760e+05	1.000000e+00	-1.000000e+00	5.735761e-03	-2.752400e-01	-3.510271e-04
9.177340e+05	1.000000e+00	-1.000000e+00	6.379842e-03	-1.739789e-01	-2.211205e-03
9.177480e+05	1.000000e+00	-1.000000e+00	4.762374e-03	-5.269790e-01	4.282883e-04
9.177490e+05	1.000000e+00	-1.000000e+00	2.031104e-02	-4.385513e-01	-6.190345e-04
9.177500e+05	1.000000e+00	-1.000000e+00	3.438909e-02	-3.575838e-01	-4.947388e-04
9.177510e+05	1.000000e+00	-1.000000e+00	2.819425e-02	-2.589332e-01	-2.567796e-04
9.177530e+05	1.000000e+00	-1.000000e+00	2.928829e-02	-2.658072e-01	1.019772e-03
9.177550e+05	1.000000e+00	-1.000000e+00	7.016852e-04	-1.315310e-01	-1.446910e-04
9.177570e+05	1.000000e+00	-1.000000e+00	1.463894e-02	-1.956346e-01	-8.851864e-05
9.177580e+05	1.000000e+00	-1.000000e+00	3.250247e-03	-1.279527e-01	-3.025000e-04
9.177590e+05	1.000000e+00	-1.000000e+00	1.718699e-02	-2.740787e-01	4.979511e-04
9.177600e+05	1.000000e+00	-1.000000e+00	2.369841e-03	-4.577644e-01	-3.847978e-05
9.177610e+05	1.000000e+00	-1.000000e+00	1.420698e-02	-3.092716e-01	1.025718e-04
9.177640e+05	1.000000e+00	-1.000000e+00	1.221052e-02	-2.187690e-01	-3.154247e-04
9.177650e+05	1.000000e+00	-1.000000e+00	4.720459e-03	-4.689499e-01	-1.763755e-03
9.177660e+05	1.000000e+00	-1.000000e+00	7.667192e-03	-3.981755e-01	-8.276363e-04
9.177670e+05	1.000000e+00	-1.000000e+00	1.564139e-02	-2.154592e-01	-7.405383e-04
9.177690e+05	1.000000e+00	-1.000000e+00	2.254325e-02	-5.260511e-01	-3.704523e-04
9.177700e+05	1.000000e+00	-1.000000e+00	1.113397e-02	-2.384628e-01	-1.392406e-03
9.177710e+05	1.000000e+00	-1.000000e+00	1.507513e-04	-3.583842e-01	5.115782e-04
9.177720e+05	1.000000e+00	-1.000000e+00	2.322153e-02	-4.130151e-01	6.734301e-04
9.177730e+05	1.000000e+00	-1.000000e+00	2.559910e-04	-1.515670e-01	-4.180437e-05
9.177750e+05	1.000000e+00	-1.000000e+00	1.846420e-02	-2.513901e-01	-1.465477e-04
