#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-1.823334e+03	0.000000e+00	3.147213e-02	0.000000e+00	-2.621793e+03	7.984594e+02
1.190000e-03	-1.568557e+03	-3.745029e-05	3.146972e-02	0.000000e+00	-9.073299e+03	7.504742e+03
2.380000e-03	-1.420275e+03	-7.489794e-05	3.146761e-02	0.000000e+00	-8.144664e+03	6.724389e+03
3.570000e-03	1.657361e+03	-1.123432e-04	3.146777e-02	0.000000e+00	-6.259966e+03	7.917327e+03
4.760000e-03	7.327006e+03	-1.497912e-04	3.147414e-02	0.000000e+00	-5.650172e+03	1.297718e+04
5.950000e-03	8.466402e+03	-1.872516e-04	3.148532e-02	0.000000e+00	-5.582519e+03	1.404892e+04
7.140000e-03	1.526197e+04	-2.247263e-04	3.150213e-02	0.000000e+00	-2.962123e+03	1.822409e+04
8.330000e-03	6.448603e+03	-2.622267e-04	3.151750e-02	0.000000e+00	-5.081673e+03	1.153028e+04
9.520000e-03	1.038984e+04	-2.997380e-04	3.152942e-02	0.000000e+00	-6.859769e+03	1.724961e+04
1.071000e-02	1.561995e+04	-3.372667e-04	3.154784e-02	0.000000e+00	-7.987903e+03	2.360785e+04
1.190000e-02	1.839842e+04	-3.748218e-04	3.157193e-02	0.000000e+00	-7.836103e+03	2.623453e+04
1.309000e-02	1.707921e+04	-4.124079e-04	3.159706e-02	0.000000e+00	-7.640032e+03	2.471924e+04
1.428000e-02	2.209373e+04	-4.500228e-04	3.162480e-02	0.000000e+00	-3.152989e+03	2.524672e+04
1.547000e-02	2.403670e+04	-4.876750e-04	3.165747e-02	0.000000e+00	-6.122576e+03	3.015927e+04
1.666000e-02	2.849463e+04	-5.253676e-04	3.169467e-02	0.000000e+00	-7.850523e+03	3.634515e+04
1.785000e-02	3.150435e+04	-5.631083e-04	3.173716e-02	0.000000e+00	-6.396225e+03	3.790057e+04
1.904000e-02	3.158286e+04	-6.009020e-04	3.178183e-02	0.000000e+00	-4.551639e+03	3.613449e+04
2.023000e-02	2.289292e+04	-6.387490e-04	3.182041e-02	0.000000e+00	-6.799137e+03	2.969205e+04
2.142000e-02	3.148156e+04	-6.766346e-04	3.185892e-02	0.000000e+00	-5.393525e+03	3.687509e+04
2.261000e-02	3.154965e+04	-7.145733e-04	3.190355e-02	0.000000e+00	-8.548889e+03	4.009854e+04
2.380000e-02	3.571948e+04	-7.525651e-04	3.195119e-02	0.000000e+00	-5.699558e+03	4.141904e+04
2.499000e-02	4.430867e+04	-7.906171e-04	3.200786e-02	0.000000e+00	-5.782583e+03	5.009126e+04
2.618000e-02	3.747881e+04	-8.287438e-04	3.206578e-02	0.000000e+00	-4.596093e+03	4.207490e+04
2.737000e-02	3.721223e+04	-8.669337e-04	3.211868e-02	0.000000e+00	-4.479145e+03	4.169138e+04
2.856000e-02	3.957170e+04	-9.051862e-04	3.217305e-02	0.000000e+00	-5.990549e+03	4.556225e+04
2.975000e-02	4.071058e+04	-9.435055e-04	3.222991e-02	0.000000e+00	-6.632115e+03	4.734269e+04
3.094000e-02	4.568484e+04	-9.818934e-04	3.229109e-02	0.000000e+00	-5.720209e+03	5.140505e+04
3.213000e-02	5.647909e+04	-1.020358e-03	3.236344e-02	0.000000e+00	-5.157452e+03	6.163654e+04
3.332000e-02	5.698518e+04	-1.058918e-03	3.244379e-02	0.000000e+00	-1.336795e+03	5.832197e+04
3.451000e-02	5.139289e+04	-1.097575e-03	3.252054e-02	0.000000e+00	-2.352166e+03	5.374506e+04
3.570000e-02	5.122181e+04	-1.136317e-03	3.259321e-02	0.000000e+00	-2.398967e+03	5.362078e+04
3.689000e-02	4.989484e+04	-1.175146e-03	3.266481e-02	0.000000e+00	-3.837800e+03	5.373264e+04
3.808000e-02	6.250944e+04	-1.214060e-03	3.274441e-02	0.000000e+00	-3.053735e+03	6.556317e+04
3.927000e-02	5.565983e+04	-1.253078e-03	3.282810e-02	0.000000e+00	-1.515512e+03	5.717534e+04
4.046000e-02	5.508186e+04	-1.292190e-03	3.290652e-02	0.000000e+00	-2.116498e+03	5.719836e+04
4.165000e-02	6.505759e+04	-1.331396e-03	3.299160e-02	0.000000e+00	-5.624501e+03	7.068209e+04
4.284000e-02	5.675363e+04	-1.370710e-03	3.307786e-02	0.000000e+00	-4.791860e+03	6.154549e+04
4.403000e-02	5.792819e+04	-1.410121e-03	3.315907e-02	0.000000e+00	-7.457065e+03	6.538526e+04
4.522000e-02	6.823630e+04	-1.449629e-03	3.324842e-02	0.000000e+00	-3.487116e+03	7.172341e+04
4.641000e-02	6.565103e+04	-1.489252e-03	3.334323e-02	0.000000e+00	-3.836121e+03	6.948715e+04
4.760000e-02	6.951055e+04	-1.528986e-03	3.343895e-02	0.000000e+00	-1.059937e+04	8.010991e+04
4.879000e-02	6.743848e+04	-1.568837e-03	3.353593e-02	0.000000e+00	-5.460936e+03	7.289942e+04
4.998000e-02	5.755297e+04	-1.608801e-03	3.362445e-02	0.000000e+00	-7.655018e+03	6.520799e+04
5.117000e-02	7.689459e+04	-1.648863e-03	3.371966e-02	0.000000e+00	-7.322005e+03	8.421660e+04
5.236000e-02	6.710863e+04	-1.689054e-03	3.382164e-02	0.000000e+00	-5.220792e+03	7.232942e+04
5.355000e-02	6.997849e+04	-1.729359e-03	3.391872e-02	0.000000e+00	-7.736712e+03	7.771521e+04
5.474000e-02	7.832016e+04	-1.769781e-03	3.402374e-02	0.000000e+00	-5.322614e+03	8.364277e+04
5.593000e-02	7.128233e+04	-1.810335e-03	3.412968e-02	0.000000e+00	-4.653190e+03	7.593552e+04
5.712000e-02	7.815228e+04	-1.851009e-03	3.423550e-02	0.000000e+00	-6.147945e+03	8.430023e+04
5.831000e-02	6.469971e+04	-1.891816e-03	3.433667e-02	0.000000e+00	-4.146826e+03	6.884653e+04
5.950000e-02	7.686407e+04	-1.932731e-03	3.443692e-02	0.000000e+00	-4.129050e+03	8.099312e+04
6.069000e-02	8.113367e+04	-1.973775e-03	3.454881e-02	0.000000e+00	-9.153892e+03	9.028756e+04
6.188000e-02	7.332952e+04	-2.014957e-03	3.465819e-02	0.000000e+00	-9.480879e+03	8.281040e+04
6.307000e-02	7.507414e+04	-2.056262e-03	3.476329e-02	0.000000e+00	-5.553505e+03	8.062764e+04
6.426000e-02	8.008237e+04	-2.097693e-03	3.487316e-02	0.000000e+00	-6.730408e+03	8.681278e+04
6.545000e-02	9.253707e+04	-2.139260e-03	3.499541e-02	0.000000e+00	-6.670224e+03	9.920729e+04
6.664000e-02	8.371272e+04	-2.180983e-03	3.512022e-02	0.000000e+00	-1.084608e+04	9.455881e+04
6.783000e-02	7.867949e+04	-2.222846e-03	3.523522e-02	0.000000e+00	-8.703375e+03	8.738287e+04
6.902000e-02	8.285841e+04	-2.264842e-03	3.534962e-02	0.000000e+00	-6.796035e+03	8.965444e+04
7.021000e-02	8.061042e+04	-2.306978e-03	3.546538e-02	0.000000e+00	-5.813817e+03	8.642424e+04
7.140000e-02	8.405848e+04	-2.349250e-03	3.558199e-02	0.000000e+00	-4.101139e+03	8.815962e+04
7.259000e-02	8.197843e+04	-2.391663e-03	3.569957e-02	0.000000e+00	-7.685962e+03	8.966439e+04
7.378000e-02	8.516847e+04	-2.434215e-03	3.581794e-02	0.000000e+00	-7.080611e+03	9.224908e+04
7.497000e-02	9.139029e+04	-2.476910e-03	3.594297e-02	0.000000e+00	-4.496340e+03	9.588663e+04
7.616000e-02	8.838177e+04	-2.519759e-03	3.607028e-02	0.000000e+00	-5.748061e+03	9.412983e+04
7.735000e-02	8.147793e+04	-2.562757e-03	3.619057e-02	0.000000e+00	-8.845724e+03	9.032366e+04
7.854000e-02	9.128131e+04	-2.605893e-03	3.631291e-02	0.000000e+00	-6.300796e+03	9.758211e+04
7.973000e-02	8.586615e+04	-2.649182e-03	3.643836e-02	0.000000e+00	-6.946820e+03	9.281297e+04
8.092000e-02	9.102939e+04	-2.692616e-03	3.656363e-02	0.000000e+00	-3.231899e+03	9.426129e+04
8.211000e-02	8.114748e+04	-2.736203e-03	3.668556e-02	0.000000e+00	-6.239398e+03	8.738688e+04
8.330000e-02	8.066900e+04	-2.779928e-03	3.680015e-02	0.000000e+00	-5.333974e+03	8.600298e+04
8.449000e-02	8.819449e+04	-2.823788e-03	3.691974e-02	0.000000e+00	-5.917197e+03	9.411169e+04
8.568000e-02	8.882319e+04	-2.867797e-03	3.704510e-02	0.000000e+00	-6.025334e+03	9.484853e+04
8.687000e-02	1.042349e+05	-2.911955e-03	3.718181e-02	0.000000e+00	-4.865244e+03	1.091001e+05
8.806000e-02	1.052549e+05	-2.956289e-03	3.733017e-02	0.000000e+00	-5.934125e+03	1.111891e+05
8.925000e-02	7.384527e+04	-3.000801e-03	3.745700e-02	0.000000e+00	-8.039809e+03	8.188508e+04
9.044000e-02	8.016695e+04	-3.045437e-03	3.756606e-02	0.000000e+00	-5.542608e+03	8.570955e+04
9.163000e-02	7.972303e+04	-3.090208e-03	3.767929e-02	0.000000e+00	-6.295087e+03	8.601812e+04
9.282000e-02	1.063783e+05	-3.135114e-03	3.781108e-02	0.000000e+00	-8.041250e+03	1.144195e+05
9.401000e-02	1.276018e+05	-3.180199e-03	3.797678e-02	0.000000e+00	-5.408634e+03	1.330105e+05
9.520000e-02	9.400158e+04	-3.225498e-03	3.813371e-02	0.000000e+00	-5.502361e+03	9.950394e+04
9.639000e-02	1.190019e+05	-3.270957e-03	3.828455e-02	0.000000e+00	-4.141889e+03	1.231438e+05
9.758000e-02	1.203254e+05	-3.316616e-03	3.845404e-02	0.000000e+00	-2.172015e+03	1.224974e+05
9.877000e-02	1.012251e+05	-3.362477e-03	3.861093e-02	0.000000e+00	-4.277691e+03	1.055028e+05
9.996000e-02	1.132045e+05	-3.408510e-03	3.876278e-02	0.000000e+00	-5.307445e+03	1.185119e+05
1.011500e-01	1.046477e+05	-3.454733e-03	3.891706e-02	0.000000e+00	-6.164655e+03	1.108123e+05
1.023400e-01	1.011650e+05	-3.501132e-03	3.906281e-02	0.000000e+00	-2.782645e+03	1.039476e+05
1.035300e-01	1.143375e+05	-3.547702e-03	3.921542e-02	0.000000e+00	-2.172587e+03	1.165101e+05
1.047200e-01	1.099965e+05	-3.594465e-03	3.937428e-02	0.000000e+00	-4.286830e+03	1.142833e+05
1.059100e-01	1.007053e+05	-3.641413e-03	3.952349e-02	0.000000e+00	-8.305223e+03	1.090106e+05
1.071000e-01	9.728261e+04	-3.688531e-03	3.966370e-02	0.000000e+00	-5.563507e+03	1.028461e+05
1.082900e-01	1.002772e+05	-3.735813e-03	3.980361e-02	0.000000e+00	-5.209962e+03	1.054872e+05
1.094800e-01	9.036657e+04	-3.783264e-03	3.993861e-02	0.000000e+00	-6.758568e+03	9.712514e+04
1.106700e-01	1.024957e+05	-3.830867e-03	4.007519e-02	0.000000e+00	-9.740668e+03	1.122363e+05
1.118600e-01	1.136935e+05	-3.878642e-03	4.022829e-02	0.000000e+00	-9.011156e+03	1.227047e+05
