#id	m	q	x	vx	vy
3.738490e+05	1.000000e+00	-1.000000e+00	1.812965e-03	-4.662137e-01	2.792566e-04
3.738500e+05	1.000000e+00	-1.000000e+00	4.252154e-02	-4.214540e-01	6.406757e-05
3.738510e+05	1.000000e+00	-1.000000e+00	1.363885e-02	-4.369324e-01	-2.073915e-04
3.738530e+05	1.000000e+00	-1.000000e+00	4.151042e-02	-3.948737e-01	4.557361e-05
3.738540e+05	1.000000e+00	-1.000000e+00	1.903869e-04	-5.199963e-01	-7.211908e-04
3.738550e+05	1.000000e+00	-1.000000e+00	2.842192e-02	-3.437868e-01	1.345853e-03
3.738560e+05	1.000000e+00	-1.000000e+00	2.194988e-02	-3.781687e-01	-1.490365e-03
3.738570e+05	1.000000e+00	-1.000000e+00	3.144463e-02	-5.752318e-01	-1.028542e-03
3.738580e+05	1.000000e+00	-1.000000e+00	2.048105e-02	-4.326147e-01	-2.573591e-04
3.738590e+05	1.000000e+00	-1.000000e+00	4.156789e-02	-4.776299e-01	1.715595e-03
3.738600e+05	1.000000e+00	-1.000000e+00	3.350741e-03	-2.571814e-01	-3.560735e-04
3.738660e+05	1.000000e+00	-1.000000e+00	1.348922e-02	-3.847524e-01	4.020138e-05
3.738710e+05	1.000000e+00	-1.000000e+00	1.906620e-02	-2.829340e-01	-2.302299e-04
3.738720e+05	1.000000e+00	-1.000000e+00	2.983092e-02	-3.537225e-01	-7.534825e-04
3.738730e+05	1.000000e+00	-1.000000e+00	8.629373e-03	-3.799327e-01	-3.682319e-04
3.738740e+05	1.000000e+00	-1.000000e+00	2.194871e-02	-4.124105e-01	1.654404e-03
3.738750e+05	1.000000e+00	-1.000000e+00	9.105674e-03	-5.696492e-01	2.128208e-04
3.738760e+05	1.000000e+00	-1.000000e+00	3.290288e-02	-5.583335e-01	-5.228844e-04
3.738790e+05	1.000000e+00	-1.000000e+00	3.324086e-02	-3.751612e-01	-6.958528e-05
3.738800e+05	1.000000e+00	-1.000000e+00	2.237755e-02	-4.178897e-01	-1.245954e-03
3.738810e+05	1.000000e+00	-1.000000e+00	4.165663e-03	-2.795884e-01	2.439600e-04
