#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-1.659722e+03	0.000000e+00	5.194828e-02	0.000000e+00	-2.304112e+03	6.443902e+02
1.190000e-03	-3.761627e+03	-6.181705e-05	5.194444e-02	0.000000e+00	-7.612447e+03	3.850820e+03
2.380000e-03	-2.438539e+03	-1.236278e-04	5.194005e-02	0.000000e+00	-7.097987e+03	4.659448e+03
3.570000e-03	1.141857e+03	-1.854344e-04	5.193913e-02	0.000000e+00	-5.391657e+03	6.533514e+03
4.760000e-03	2.987529e+03	-2.472429e-04	5.194205e-02	0.000000e+00	-6.955122e+03	9.942651e+03
5.950000e-03	6.857347e+03	-3.090564e-04	5.194902e-02	0.000000e+00	-4.986682e+03	1.184403e+04
7.140000e-03	1.003683e+04	-3.708816e-04	5.196099e-02	0.000000e+00	-4.270637e+03	1.430746e+04
8.330000e-03	1.286277e+04	-4.327236e-04	5.197721e-02	0.000000e+00	-6.573693e+03	1.943647e+04
9.520000e-03	1.857809e+04	-4.945873e-04	5.199947e-02	0.000000e+00	-6.637109e+03	2.521520e+04
1.071000e-02	2.065142e+04	-5.564823e-04	5.202725e-02	0.000000e+00	-3.624965e+03	2.427638e+04
1.190000e-02	9.243002e+03	-6.184122e-04	5.204842e-02	0.000000e+00	-4.509954e+03	1.375296e+04
1.309000e-02	2.121341e+04	-6.803576e-04	5.206999e-02	0.000000e+00	-5.330520e+03	2.654393e+04
1.428000e-02	2.533070e+04	-7.423388e-04	5.210295e-02	0.000000e+00	-4.229559e+03	2.956026e+04
1.547000e-02	1.941105e+04	-8.043626e-04	5.213464e-02	0.000000e+00	-4.365625e+03	2.377668e+04
1.666000e-02	3.486076e+04	-8.664192e-04	5.217307e-02	0.000000e+00	-5.931380e+03	4.079214e+04
1.785000e-02	2.996013e+04	-9.285345e-04	5.221897e-02	0.000000e+00	-1.010795e+04	4.006808e+04
1.904000e-02	2.309563e+04	-9.907003e-04	5.225654e-02	0.000000e+00	-7.836273e+03	3.093190e+04
2.023000e-02	2.434554e+04	-1.052905e-03	5.229014e-02	0.000000e+00	-7.691076e+03	3.203662e+04
