#id	m	q	x	vx	vy
8.399610e+05	1.000000e+00	-1.000000e+00	2.430413e-03	-1.978351e-01	1.005012e-03
8.399850e+05	1.000000e+00	-1.000000e+00	7.231433e-03	-2.634304e-01	5.882609e-04
8.400020e+05	1.000000e+00	-1.000000e+00	4.748006e-03	-1.997884e-01	7.959440e-04
8.400060e+05	1.000000e+00	-1.000000e+00	4.411694e-03	-2.166530e-01	-1.403240e-04
8.400100e+05	1.000000e+00	-1.000000e+00	4.013252e-03	-2.421245e-01	1.618892e-04
8.400240e+05	1.000000e+00	-1.000000e+00	1.288728e-03	-2.351738e-01	2.181470e-03
8.400300e+05	1.000000e+00	-1.000000e+00	1.599116e-03	-2.016097e-01	2.022777e-04
8.400350e+05	1.000000e+00	-1.000000e+00	8.019090e-03	-2.474899e-01	3.921209e-05
8.400470e+05	1.000000e+00	-1.000000e+00	1.211660e-03	-1.607558e-01	6.740132e-04
8.400490e+05	1.000000e+00	-1.000000e+00	1.777741e-02	-2.391481e-01	6.145672e-04
8.400500e+05	1.000000e+00	-1.000000e+00	2.831856e-02	-2.460255e-01	-1.946650e-04
8.400510e+05	1.000000e+00	-1.000000e+00	6.370409e-03	-2.940948e-01	1.211948e-04
8.400570e+05	1.000000e+00	-1.000000e+00	1.849385e-02	-3.762298e-01	3.680885e-04
8.400580e+05	1.000000e+00	-1.000000e+00	2.393577e-02	-2.298197e-01	-6.025010e-05
8.400600e+05	1.000000e+00	-1.000000e+00	3.018149e-02	-3.939839e-01	-9.274281e-04
8.400610e+05	1.000000e+00	-1.000000e+00	4.499575e-03	-1.411342e-01	-3.266078e-04
8.400620e+05	1.000000e+00	-1.000000e+00	6.934960e-03	-3.569710e-01	7.705652e-04
8.400640e+05	1.000000e+00	-1.000000e+00	1.911834e-02	-2.541144e-01	3.100504e-04
8.400650e+05	1.000000e+00	-1.000000e+00	1.857263e-02	-2.607026e-01	1.357532e-04
8.400660e+05	1.000000e+00	-1.000000e+00	2.266355e-02	-2.358165e-01	7.708518e-04
8.400670e+05	1.000000e+00	-1.000000e+00	8.395904e-03	-3.022997e-01	8.588643e-04
8.400680e+05	1.000000e+00	-1.000000e+00	2.657609e-02	-4.821615e-01	8.378388e-04
8.400700e+05	1.000000e+00	-1.000000e+00	2.007080e-02	-2.690031e-01	1.041011e-05
8.400710e+05	1.000000e+00	-1.000000e+00	3.674406e-02	-2.850826e-01	1.265884e-04
8.400750e+05	1.000000e+00	-1.000000e+00	1.588695e-02	-1.974989e-01	1.620987e-04
8.400760e+05	1.000000e+00	-1.000000e+00	2.451048e-02	-3.329957e-01	-1.452181e-04
8.400770e+05	1.000000e+00	-1.000000e+00	4.689157e-04	-1.431220e-01	-2.428218e-03
8.400780e+05	1.000000e+00	-1.000000e+00	1.981886e-02	-2.705942e-01	1.382197e-03
8.400800e+05	1.000000e+00	-1.000000e+00	8.544293e-03	-2.863613e-01	1.040164e-03
8.400810e+05	1.000000e+00	-1.000000e+00	3.086970e-02	-3.779205e-01	2.439253e-03
8.400840e+05	1.000000e+00	-1.000000e+00	3.405387e-02	-3.112755e-01	3.127874e-04
8.400870e+05	1.000000e+00	-1.000000e+00	2.157983e-02	-5.035865e-01	1.807327e-03
8.400910e+05	1.000000e+00	-1.000000e+00	7.374718e-03	-4.240957e-01	-8.850314e-04
8.400920e+05	1.000000e+00	-1.000000e+00	2.064585e-02	-2.126118e-01	-1.203004e-03
8.400930e+05	1.000000e+00	-1.000000e+00	1.920628e-02	-2.534952e-01	1.327340e-03
8.400940e+05	1.000000e+00	-1.000000e+00	2.095776e-02	-2.187320e-01	-9.569970e-04
8.400970e+05	1.000000e+00	-1.000000e+00	3.421142e-02	-3.783816e-01	-7.044169e-04
8.400980e+05	1.000000e+00	-1.000000e+00	1.512904e-02	-2.389375e-01	-4.193059e-04
8.401020e+05	1.000000e+00	-1.000000e+00	6.448460e-04	-4.829067e-01	-2.054517e-04
8.401030e+05	1.000000e+00	-1.000000e+00	6.523692e-03	-3.519092e-01	-2.640070e-04
8.401050e+05	1.000000e+00	-1.000000e+00	3.165457e-02	-3.799276e-01	1.806445e-03
8.401070e+05	1.000000e+00	-1.000000e+00	8.689015e-03	-2.180222e-01	4.126223e-06
8.401090e+05	1.000000e+00	-1.000000e+00	2.034242e-02	-4.905031e-01	4.828057e-05
8.401110e+05	1.000000e+00	-1.000000e+00	1.568014e-02	-2.543143e-01	7.123814e-05
8.401120e+05	1.000000e+00	-1.000000e+00	2.706078e-02	-2.914744e-01	1.581264e-03
8.401130e+05	1.000000e+00	-1.000000e+00	1.894459e-02	-1.727525e-01	-1.303309e-03
8.401170e+05	1.000000e+00	-1.000000e+00	8.548262e-03	-4.358586e-01	2.602850e-05
8.401180e+05	1.000000e+00	-1.000000e+00	3.251159e-02	-2.971843e-01	6.275780e-04
8.401190e+05	1.000000e+00	-1.000000e+00	1.269383e-02	-2.829285e-01	-4.313785e-05
8.401200e+05	1.000000e+00	-1.000000e+00	9.303796e-04	-1.322140e-01	1.127318e-03
8.401210e+05	1.000000e+00	-1.000000e+00	7.714457e-03	-3.565361e-01	2.627672e-03
8.401220e+05	1.000000e+00	-1.000000e+00	6.396941e-03	-4.665663e-01	-1.499743e-04
8.401240e+05	1.000000e+00	-1.000000e+00	1.841954e-02	-1.932008e-01	-6.416016e-04
8.401250e+05	1.000000e+00	-1.000000e+00	1.830940e-03	-3.733668e-01	1.762284e-05
8.401260e+05	1.000000e+00	-1.000000e+00	1.815816e-02	-4.837599e-01	-3.449894e-04
8.401270e+05	1.000000e+00	-1.000000e+00	1.566178e-02	-1.676682e-01	-2.021392e-03
8.401280e+05	1.000000e+00	-1.000000e+00	8.916849e-03	-1.629646e-01	-3.658315e-04
8.401290e+05	1.000000e+00	-1.000000e+00	4.365757e-03	-3.232976e-01	2.879014e-04
8.401300e+05	1.000000e+00	-1.000000e+00	2.923815e-02	-3.490179e-01	6.477945e-04
8.401330e+05	1.000000e+00	-1.000000e+00	2.926182e-02	-4.021878e-01	-1.885854e-04
8.401340e+05	1.000000e+00	-1.000000e+00	1.879772e-02	-4.420986e-01	1.379831e-03
8.401350e+05	1.000000e+00	-1.000000e+00	6.272226e-03	-3.327808e-01	1.511650e-03
8.401360e+05	1.000000e+00	-1.000000e+00	4.489942e-03	-1.904652e-01	-1.118041e-04
8.401370e+05	1.000000e+00	-1.000000e+00	1.674194e-02	-5.637142e-01	-2.183826e-05
8.401390e+05	1.000000e+00	-1.000000e+00	3.130235e-02	-2.685451e-01	1.001485e-03
8.401400e+05	1.000000e+00	-1.000000e+00	1.836473e-02	-5.688211e-01	-1.253922e-03
8.401450e+05	1.000000e+00	-1.000000e+00	1.977063e-02	-2.686642e-01	1.094457e-05
8.401460e+05	1.000000e+00	-1.000000e+00	8.125548e-03	-5.813455e-01	3.987254e-04
8.401480e+05	1.000000e+00	-1.000000e+00	1.169031e-02	-4.606373e-01	-1.179418e-03
8.401490e+05	1.000000e+00	-1.000000e+00	4.466887e-03	-4.787453e-01	-6.567553e-04
8.401500e+05	1.000000e+00	-1.000000e+00	3.841158e-02	-2.975564e-01	3.489068e-04
8.401520e+05	1.000000e+00	-1.000000e+00	4.263700e-03	-4.692403e-01	-6.543573e-04
8.401530e+05	1.000000e+00	-1.000000e+00	8.170040e-03	-3.897410e-01	-4.537844e-04
8.401540e+05	1.000000e+00	-1.000000e+00	1.016634e-02	-4.987760e-01	-5.650511e-06
8.401550e+05	1.000000e+00	-1.000000e+00	6.951594e-03	-1.441525e-01	-8.316870e-04
8.401560e+05	1.000000e+00	-1.000000e+00	2.842206e-02	-4.880904e-01	3.563335e-04
8.401580e+05	1.000000e+00	-1.000000e+00	1.112334e-02	-5.552788e-01	9.433567e-04
8.401590e+05	1.000000e+00	-1.000000e+00	6.037112e-02	-4.257249e-01	2.757828e-04
8.401600e+05	1.000000e+00	-1.000000e+00	5.350241e-02	-2.335863e-01	-4.086287e-04
8.401610e+05	1.000000e+00	-1.000000e+00	3.445098e-02	-4.091244e-01	3.096976e-06
8.401620e+05	1.000000e+00	-1.000000e+00	4.911986e-02	-3.109825e-01	-1.991787e-05
8.401630e+05	1.000000e+00	-1.000000e+00	4.889942e-02	-3.622168e-01	1.784221e-03
