#id	m	q	x	vx	vy
3.627380e+05	1.000000e+00	-1.000000e+00	3.324022e-05	-4.809597e-01	3.979832e-04
3.627480e+05	1.000000e+00	-1.000000e+00	4.269106e-02	-4.460969e-01	-7.378877e-04
3.627490e+05	1.000000e+00	-1.000000e+00	3.151058e-02	-5.161963e-01	2.797431e-04
3.627530e+05	1.000000e+00	-1.000000e+00	4.476373e-02	-5.566401e-01	2.962668e-05
3.627560e+05	1.000000e+00	-1.000000e+00	3.952372e-02	-4.625027e-01	6.619872e-04
3.627580e+05	1.000000e+00	-1.000000e+00	2.970177e-02	-3.842930e-01	-1.690512e-04
3.627590e+05	1.000000e+00	-1.000000e+00	4.802350e-03	-3.163401e-01	-9.456089e-05
3.627600e+05	1.000000e+00	-1.000000e+00	4.083724e-02	-3.988800e-01	-5.419080e-04
3.627610e+05	1.000000e+00	-1.000000e+00	3.404149e-02	-5.373960e-01	2.562943e-03
3.627630e+05	1.000000e+00	-1.000000e+00	2.006427e-02	-5.783860e-01	5.757528e-04
3.627650e+05	1.000000e+00	-1.000000e+00	1.970682e-02	-4.430244e-01	-3.841729e-04
3.627670e+05	1.000000e+00	-1.000000e+00	2.199796e-02	-4.727452e-01	9.080431e-05
3.627690e+05	1.000000e+00	-1.000000e+00	2.088841e-02	-3.731079e-01	1.383894e-03
3.627720e+05	1.000000e+00	-1.000000e+00	3.944414e-02	-4.021063e-01	-5.771355e-06
3.627750e+05	1.000000e+00	-1.000000e+00	2.405309e-02	-3.162385e-01	2.304900e-03
3.627760e+05	1.000000e+00	-1.000000e+00	3.263454e-02	-3.376485e-01	-1.139724e-03
3.627770e+05	1.000000e+00	-1.000000e+00	3.788947e-02	-4.657174e-01	1.956208e-04
3.627780e+05	1.000000e+00	-1.000000e+00	1.627618e-03	-2.511328e-01	7.668716e-04
3.627800e+05	1.000000e+00	-1.000000e+00	1.414462e-02	-4.119389e-01	4.223161e-04
3.627820e+05	1.000000e+00	-1.000000e+00	2.006992e-03	-5.239435e-01	1.628820e-04
3.627830e+05	1.000000e+00	-1.000000e+00	1.012538e-02	-4.187429e-01	-1.521046e-04
3.627840e+05	1.000000e+00	-1.000000e+00	3.794418e-02	-5.862166e-01	2.875034e-04
3.627850e+05	1.000000e+00	-1.000000e+00	8.901549e-03	-3.880463e-01	-2.966458e-04
3.627860e+05	1.000000e+00	-1.000000e+00	3.923199e-02	-4.210116e-01	-1.761924e-04
3.627870e+05	1.000000e+00	-1.000000e+00	4.234898e-02	-4.662406e-01	1.137260e-03
3.627880e+05	1.000000e+00	-1.000000e+00	2.687500e-02	-3.168950e-01	3.971126e-04
3.627910e+05	1.000000e+00	-1.000000e+00	4.208180e-02	-4.874376e-01	4.289852e-05
3.627920e+05	1.000000e+00	-1.000000e+00	4.753551e-02	-4.197297e-01	-8.190602e-04
3.627930e+05	1.000000e+00	-1.000000e+00	1.620030e-02	-4.275991e-01	-2.289218e-04
3.627940e+05	1.000000e+00	-1.000000e+00	7.813195e-03	-4.550615e-01	5.282459e-04
3.627950e+05	1.000000e+00	-1.000000e+00	2.606530e-02	-5.735932e-01	1.080374e-04
3.627960e+05	1.000000e+00	-1.000000e+00	7.984419e-03	-5.057404e-01	1.322590e-03
3.627990e+05	1.000000e+00	-1.000000e+00	1.582919e-02	-5.764619e-01	5.494640e-04
3.628010e+05	1.000000e+00	-1.000000e+00	2.193020e-03	-3.381638e-01	1.278964e-04
3.628030e+05	1.000000e+00	-1.000000e+00	3.717248e-02	-3.520447e-01	6.346010e-04
3.628060e+05	1.000000e+00	-1.000000e+00	9.334776e-03	-4.407154e-01	8.630406e-04
3.628100e+05	1.000000e+00	-1.000000e+00	3.108638e-02	-5.219499e-01	3.000516e-04
3.628130e+05	1.000000e+00	-1.000000e+00	3.272980e-02	-4.300139e-01	-5.772059e-04
3.628140e+05	1.000000e+00	-1.000000e+00	1.262170e-02	-5.901398e-01	-2.172498e-03
3.628150e+05	1.000000e+00	-1.000000e+00	9.556385e-03	-4.675665e-01	-4.721001e-06
3.628160e+05	1.000000e+00	-1.000000e+00	3.649824e-02	-3.795173e-01	-7.351892e-04
3.628170e+05	1.000000e+00	-1.000000e+00	2.691722e-02	-4.530419e-01	-5.179929e-05
3.628180e+05	1.000000e+00	-1.000000e+00	2.995488e-02	-4.229520e-01	-1.219840e-04
3.628190e+05	1.000000e+00	-1.000000e+00	3.632149e-02	-4.828831e-01	-4.311470e-04
3.628200e+05	1.000000e+00	-1.000000e+00	3.130403e-02	-4.491656e-01	-6.141764e-04
3.628220e+05	1.000000e+00	-1.000000e+00	2.109729e-02	-4.344523e-01	-1.006287e-03
3.628230e+05	1.000000e+00	-1.000000e+00	4.347737e-02	-4.059484e-01	-3.453485e-04
3.628260e+05	1.000000e+00	-1.000000e+00	2.392022e-03	-5.841743e-01	-5.997959e-04
3.628270e+05	1.000000e+00	-1.000000e+00	5.874023e-03	-2.692887e-01	1.206038e-03
3.628290e+05	1.000000e+00	-1.000000e+00	1.672893e-02	-3.375773e-01	1.353486e-04
3.628300e+05	1.000000e+00	-1.000000e+00	2.798859e-02	-3.193066e-01	-4.192675e-05
3.628320e+05	1.000000e+00	-1.000000e+00	1.860783e-02	-3.363431e-01	-2.498106e-05
3.628340e+05	1.000000e+00	-1.000000e+00	1.045925e-02	-2.868671e-01	-3.991031e-04
3.628370e+05	1.000000e+00	-1.000000e+00	2.030912e-02	-3.954160e-01	1.651005e-03
3.628410e+05	1.000000e+00	-1.000000e+00	1.904923e-02	-3.579184e-01	8.127938e-04
3.628420e+05	1.000000e+00	-1.000000e+00	1.808891e-02	-4.118360e-01	-1.029260e-03
3.628430e+05	1.000000e+00	-1.000000e+00	1.688994e-02	-3.975283e-01	3.469271e-04
3.628450e+05	1.000000e+00	-1.000000e+00	1.389696e-02	-3.930286e-01	1.591361e-03
3.628470e+05	1.000000e+00	-1.000000e+00	1.074304e-02	-4.353270e-01	1.998184e-04
3.628490e+05	1.000000e+00	-1.000000e+00	1.930404e-02	-3.840836e-01	1.220918e-05
3.628500e+05	1.000000e+00	-1.000000e+00	1.073580e-02	-2.776770e-01	-2.233727e-03
3.628510e+05	1.000000e+00	-1.000000e+00	4.482968e-02	-4.506737e-01	-3.353658e-04
3.628520e+05	1.000000e+00	-1.000000e+00	4.969865e-02	-5.414538e-01	-2.531276e-04
3.628570e+05	1.000000e+00	-1.000000e+00	1.059596e-02	-4.784760e-01	-4.633661e-04
3.628580e+05	1.000000e+00	-1.000000e+00	1.144641e-02	-5.472221e-01	7.237142e-05
3.628590e+05	1.000000e+00	-1.000000e+00	7.205330e-02	-3.904516e-01	1.453757e-03
3.628620e+05	1.000000e+00	-1.000000e+00	5.579703e-02	-4.299116e-01	5.872213e-04
3.628630e+05	1.000000e+00	-1.000000e+00	8.428557e-02	-5.612584e-01	-2.166670e-03
3.628650e+05	1.000000e+00	-1.000000e+00	2.959833e-02	-2.763656e-01	4.922395e-04
3.628690e+05	1.000000e+00	-1.000000e+00	7.276012e-02	-3.603504e-01	1.395375e-03
3.628700e+05	1.000000e+00	-1.000000e+00	2.604074e-02	-2.785323e-01	-4.825187e-04
3.628710e+05	1.000000e+00	-1.000000e+00	6.453244e-02	-4.265440e-01	4.540892e-04
3.628720e+05	1.000000e+00	-1.000000e+00	8.595229e-02	-5.033550e-01	-1.121693e-03
3.628730e+05	1.000000e+00	-1.000000e+00	8.766969e-02	-5.312066e-01	-5.696422e-04
3.628740e+05	1.000000e+00	-1.000000e+00	4.270703e-02	-3.189527e-01	-1.982126e-04
3.628760e+05	1.000000e+00	-1.000000e+00	5.071280e-02	-4.196427e-01	-1.377788e-03
3.628780e+05	1.000000e+00	-1.000000e+00	9.705821e-02	-5.159895e-01	3.566336e-04
3.628790e+05	1.000000e+00	-1.000000e+00	4.050048e-02	-3.751375e-01	1.252638e-04
3.628800e+05	1.000000e+00	-1.000000e+00	9.041037e-02	-5.815240e-01	2.343314e-04
3.628840e+05	1.000000e+00	-1.000000e+00	2.391067e-02	-2.837685e-01	1.085637e-03
3.628850e+05	1.000000e+00	-1.000000e+00	6.444991e-02	-5.464885e-01	-5.663593e-04
3.628860e+05	1.000000e+00	-1.000000e+00	4.291728e-02	-3.571648e-01	6.101894e-04
3.628870e+05	1.000000e+00	-1.000000e+00	6.157631e-02	-4.430995e-01	-5.025935e-05
3.628880e+05	1.000000e+00	-1.000000e+00	6.199405e-02	-5.147080e-01	-9.897091e-04
3.628900e+05	1.000000e+00	-1.000000e+00	5.221701e-02	-3.333828e-01	-8.074451e-04
3.628910e+05	1.000000e+00	-1.000000e+00	2.284361e-02	-2.568615e-01	5.089044e-04
3.628920e+05	1.000000e+00	-1.000000e+00	5.226676e-03	-2.295935e-01	-1.028259e-03
3.628940e+05	1.000000e+00	-1.000000e+00	6.106545e-02	-3.348954e-01	1.709798e-04
3.628950e+05	1.000000e+00	-1.000000e+00	3.810695e-02	-3.282985e-01	-6.708366e-04
3.628970e+05	1.000000e+00	-1.000000e+00	7.831634e-02	-5.812593e-01	8.174137e-05
3.628980e+05	1.000000e+00	-1.000000e+00	5.476188e-02	-3.266174e-01	-1.701327e-03
