#x	rho	phi	ex	bz	rhok[0]	rhok[1]
0.000000e+00	-2.964193e+03	0.000000e+00	3.919019e-02	0.000000e+00	-3.039198e+03	7.500498e+01
1.190000e-03	-3.105886e+03	-4.663382e-05	3.918589e-02	0.000000e+00	-6.308061e+03	3.202175e+03
2.380000e-03	-2.767646e+03	-9.326241e-05	3.918173e-02	0.000000e+00	-7.113156e+03	4.345510e+03
3.570000e-03	8.601324e+03	-1.398863e-04	3.918586e-02	0.000000e+00	-1.339558e+03	9.940882e+03
4.760000e-03	1.047365e+04	-1.865248e-04	3.919937e-02	0.000000e+00	-2.319929e+03	1.279358e+04
5.950000e-03	1.160245e+04	-2.331808e-04	3.921500e-02	0.000000e+00	-7.132978e+03	1.873543e+04
7.140000e-03	1.205587e+04	-2.798565e-04	3.923175e-02	0.000000e+00	-5.537986e+03	1.759385e+04
8.330000e-03	1.517725e+04	-3.265524e-04	3.925104e-02	0.000000e+00	-5.245128e+03	2.042237e+04
9.520000e-03	9.636904e+03	-3.732739e-04	3.926861e-02	0.000000e+00	-5.927120e+03	1.556402e+04
1.071000e-02	6.871453e+03	-4.200117e-04	3.928030e-02	0.000000e+00	-6.785834e+03	1.365729e+04
1.190000e-02	1.934692e+04	-4.667610e-04	3.929887e-02	0.000000e+00	-2.341723e+03	2.168864e+04
1.309000e-02	2.527852e+04	-5.135430e-04	3.933047e-02	0.000000e+00	-2.123693e+03	2.740221e+04
1.428000e-02	2.408802e+04	-5.603676e-04	3.936543e-02	0.000000e+00	-5.009921e+03	2.909794e+04
1.547000e-02	2.588478e+04	-6.072327e-04	3.940082e-02	0.000000e+00	-4.110943e+03	2.999572e+04
1.666000e-02	3.100072e+04	-6.541415e-04	3.944110e-02	0.000000e+00	-7.018188e+03	3.801890e+04
1.785000e-02	2.859719e+04	-7.011026e-04	3.948331e-02	0.000000e+00	-6.567827e+03	3.516502e+04
1.904000e-02	2.783404e+04	-7.481118e-04	3.952327e-02	0.000000e+00	-7.639401e+03	3.547344e+04
2.023000e-02	3.049827e+04	-7.951680e-04	3.956458e-02	0.000000e+00	-7.244307e+03	3.774258e+04
2.142000e-02	3.350151e+04	-8.422755e-04	3.960990e-02	0.000000e+00	-4.330126e+03	3.783164e+04
2.261000e-02	3.514203e+04	-8.894395e-04	3.965851e-02	0.000000e+00	-3.713947e+03	3.885598e+04
2.380000e-02	4.352450e+04	-9.366628e-04	3.971422e-02	0.000000e+00	-4.091811e+03	4.761631e+04
2.499000e-02	3.632919e+04	-9.839594e-04	3.977077e-02	0.000000e+00	-4.266705e+03	4.059589e+04
2.618000e-02	2.417970e+04	-1.031317e-03	3.981362e-02	0.000000e+00	-6.179926e+03	3.035962e+04
2.737000e-02	3.607626e+04	-1.078716e-03	3.985629e-02	0.000000e+00	-8.298023e+03	4.437429e+04
2.856000e-02	4.923815e+04	-1.126175e-03	3.991671e-02	0.000000e+00	-4.163414e+03	5.340157e+04
2.975000e-02	4.422945e+04	-1.173718e-03	3.998290e-02	0.000000e+00	-6.065494e+03	5.029495e+04
3.094000e-02	4.071800e+04	-1.221334e-03	4.004306e-02	0.000000e+00	-4.236822e+03	4.495482e+04
3.213000e-02	3.791572e+04	-1.269020e-03	4.009874e-02	0.000000e+00	-6.975216e+03	4.489093e+04
3.332000e-02	4.838580e+04	-1.316770e-03	4.015986e-02	0.000000e+00	-4.230904e+03	5.261671e+04
3.451000e-02	5.335192e+04	-1.364601e-03	4.023191e-02	0.000000e+00	-3.004442e+03	5.635636e+04
3.570000e-02	5.428562e+04	-1.412521e-03	4.030813e-02	0.000000e+00	-5.704690e+03	5.999031e+04
3.689000e-02	5.507699e+04	-1.460534e-03	4.038558e-02	0.000000e+00	-5.444126e+03	6.052112e+04
3.808000e-02	4.278529e+04	-1.508639e-03	4.045488e-02	0.000000e+00	-7.024841e+03	4.981013e+04
3.927000e-02	5.307778e+04	-1.556816e-03	4.052277e-02	0.000000e+00	-7.539219e+03	6.061700e+04
4.046000e-02	4.560970e+04	-1.605083e-03	4.059266e-02	0.000000e+00	-5.376690e+03	5.098639e+04
4.165000e-02	5.285855e+04	-1.653427e-03	4.066239e-02	0.000000e+00	-9.039970e+03	6.189852e+04
4.284000e-02	5.464271e+04	-1.701860e-03	4.073852e-02	0.000000e+00	-9.474829e+03	6.411754e+04
4.403000e-02	5.752804e+04	-1.750385e-03	4.081795e-02	0.000000e+00	-3.181140e+03	6.070918e+04
4.522000e-02	5.442489e+04	-1.799007e-03	4.089723e-02	0.000000e+00	-5.235900e+03	5.966079e+04
4.641000e-02	6.531511e+04	-1.847720e-03	4.098203e-02	0.000000e+00	-8.390372e+03	7.370548e+04
4.760000e-02	6.448730e+04	-1.896544e-03	4.107395e-02	0.000000e+00	-7.253379e+03	7.174067e+04
4.879000e-02	6.199607e+04	-1.945476e-03	4.116352e-02	0.000000e+00	-7.053726e+03	6.904979e+04
4.998000e-02	6.399247e+04	-1.994513e-03	4.125274e-02	0.000000e+00	-8.550162e+03	7.254263e+04
5.117000e-02	7.643907e+04	-2.043658e-03	4.135219e-02	0.000000e+00	-5.422974e+03	8.186204e+04
